row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
162	56648	8.354 sec	TLP	Upstream	0x12	1
163	56655	8.354 sec	TLP	Upstream	0x12	1
164	56660	8.354 sec	TLP	Upstream	0x12	1
165	56663	8.354 sec	TLP	Upstream	0x12	1
166	56676	8.354 sec	TLP	Upstream	0x12	1
167	56679	8.354 sec	TLP	Upstream	0x12	1
168	56684	8.354 sec	TLP	Upstream	0x12	1
169	56691	8.354 sec	TLP	Upstream	0x12	1
170	57728	8.361 sec	TLP	Downstream	0x1	1
171	57731	8.361 sec	TLP	Upstream	0x12	1
172	57733	8.361 sec	TLP	Downstream	0x3	1
173	57735	8.361 sec	TLP	Downstream	0x1	1
174	57739	8.361 sec	TLP	Upstream	0x12	1
175	57741	8.361 sec	TLP	Downstream	0x3	1
176	59962	8.376 sec	TLP	Downstream	0x1	1
177	59965	8.376 sec	TLP	Upstream	0x12	1
178	59967	8.376 sec	TLP	Downstream	0x1	1
179	59970	8.376 sec	TLP	Upstream	0x12	1
180	59974	8.376 sec	TLP	Downstream	0x3	1
181	59976	8.376 sec	TLP	Downstream	0x1	1
182	59980	8.376 sec	TLP	Upstream	0x12	1
183	59982	8.376 sec	TLP	Downstream	0x3	1
184	59984	8.376 sec	TLP	Downstream	0x1	1
185	59988	8.376 sec	TLP	Upstream	0x12	1
186	59990	8.376 sec	TLP	Downstream	0x3	1
187	59993	8.376 sec	TLP	Downstream	0x1	1
188	59996	8.376 sec	TLP	Upstream	0x12	1
189	59998	8.376 sec	TLP	Downstream	0x1	1
190	60001	8.376 sec	TLP	Upstream	0x12	1
191	60003	8.376 sec	TLP	Downstream	0x3	1
192	60005	8.376 sec	TLP	Downstream	0x3	1
193	60008	8.376 sec	TLP	Downstream	0x3	1
194	60011	8.376 sec	TLP	Downstream	0x3	1
195	60015	8.377 sec	TLP	Downstream	0x1	1
196	60018	8.377 sec	TLP	Upstream	0x12	1
197	60020	8.377 sec	TLP	Downstream	0x3	1
198	60022	8.377 sec	TLP	Downstream	0x3	1
199	60026	8.377 sec	TLP	Downstream	0x1	1
200	60029	8.377 sec	TLP	Upstream	0x12	1
201	60031	8.377 sec	TLP	Downstream	0x1	1
202	60034	8.377 sec	TLP	Upstream	0x12	1
203	60036	8.377 sec	TLP	Downstream	0x3	1
204	60038	8.377 sec	TLP	Downstream	0x1	1
205	60042	8.377 sec	TLP	Upstream	0x12	1
206	60044	8.377 sec	TLP	Downstream	0x3	1
207	60046	8.377 sec	TLP	Downstream	0x1	1
208	60050	8.377 sec	TLP	Upstream	0x12	1
209	60052	8.377 sec	TLP	Downstream	0x3	1
210	60054	8.377 sec	TLP	Downstream	0x3	1
211	60058	8.377 sec	TLP	Downstream	0x1	1
212	60061	8.377 sec	TLP	Upstream	0x12	1
213	60065	8.377 sec	TLP	Downstream	0x3	1
214	60067	8.377 sec	TLP	Downstream	0x1	1
215	60071	8.377 sec	TLP	Upstream	0x12	1
216	60073	8.377 sec	TLP	Downstream	0x3	1
217	60075	8.377 sec	TLP	Downstream	0x3	1
218	60078	8.377 sec	TLP	Downstream	0x1	1
219	60082	8.377 sec	TLP	Upstream	0x12	1
220	60084	8.377 sec	TLP	Downstream	0x3	1
221	60087	8.377 sec	TLP	Downstream	0x3	1
222	60089	8.377 sec	TLP	Downstream	0x1	1
223	60093	8.377 sec	TLP	Upstream	0x12	1
224	60095	8.377 sec	TLP	Downstream	0x3	1
225	60097	8.377 sec	TLP	Downstream	0x1	1
226	60101	8.377 sec	TLP	Upstream	0x12	1
227	60103	8.377 sec	TLP	Downstream	0x3	1
228	60105	8.377 sec	TLP	Downstream	0x3	1
229	60108	8.377 sec	TLP	Downstream	0x1	1
230	60112	8.377 sec	TLP	Upstream	0x12	1
231	60114	8.377 sec	TLP	Downstream	0x3	1
232	60116	8.377 sec	TLP	Downstream	0x1	1
233	60120	8.377 sec	TLP	Upstream	0x12	1
234	60122	8.377 sec	TLP	Downstream	0x3	1
235	60124	8.377 sec	TLP	Downstream	0x3	1
236	62370	8.392 sec	TLP	Downstream	0x3	1
237	62372	8.392 sec	TLP	Downstream	0x1	1
238	62376	8.392 sec	TLP	Upstream	0x12	1
239	62378	8.392 sec	TLP	Downstream	0x3	1
