row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
114	2095328	5.894 sec	TLP	Upstream	0x12	1
115	2095332	5.894 sec	TLP	Downstream	0x9	1
116	2095334	5.894 sec	TLP	Upstream	0x12	1
117	2095346	5.894 sec	TLP	Downstream	0x9	1
118	2095349	5.894 sec	TLP	Upstream	0x12	1
119	2095352	5.894 sec	TLP	Downstream	0x9	1
120	2095354	5.894 sec	TLP	Upstream	0x12	1
121	2095357	5.894 sec	TLP	Downstream	0x9	1
122	2095359	5.894 sec	TLP	Upstream	0x12	1
123	2095362	5.894 sec	TLP	Downstream	0x9	1
124	2095364	5.894 sec	TLP	Upstream	0x12	1
125	2095367	5.894 sec	TLP	Downstream	0x9	1
126	2095369	5.894 sec	TLP	Upstream	0x12	1
127	2095372	5.894 sec	TLP	Downstream	0x9	1
128	2095374	5.894 sec	TLP	Upstream	0x12	1
129	2095377	5.894 sec	TLP	Downstream	0x9	1
130	2095379	5.894 sec	TLP	Upstream	0x12	1
131	2095382	5.894 sec	TLP	Downstream	0x9	1
132	2095386	5.894 sec	TLP	Upstream	0x12	1
133	2095389	5.894 sec	TLP	Downstream	0x9	1
134	2095391	5.894 sec	TLP	Upstream	0x12	1
135	2095394	5.894 sec	TLP	Downstream	0x9	1
136	2095396	5.894 sec	TLP	Upstream	0x12	1
137	2095399	5.894 sec	TLP	Downstream	0x9	1
138	2095402	5.894 sec	TLP	Upstream	0x12	1
139	2095405	5.894 sec	TLP	Downstream	0x9	1
140	2095407	5.894 sec	TLP	Upstream	0x12	1
141	2095410	5.894 sec	TLP	Downstream	0x9	1
142	2095412	5.894 sec	TLP	Upstream	0x12	1
143	2095415	5.894 sec	TLP	Downstream	0x9	1
144	2095417	5.894 sec	TLP	Upstream	0x12	1
145	2095420	5.894 sec	TLP	Downstream	0x9	1
146	2095422	5.894 sec	TLP	Upstream	0x12	1
147	2095425	5.894 sec	TLP	Downstream	0x9	1
148	2095427	5.894 sec	TLP	Upstream	0x12	1
149	2095430	5.894 sec	TLP	Downstream	0x9	1
150	2095432	5.894 sec	TLP	Upstream	0x12	1
151	2095435	5.894 sec	TLP	Downstream	0x9	1
152	2095437	5.894 sec	TLP	Upstream	0x12	1
153	2095441	5.894 sec	TLP	Downstream	0x9	1
154	2095445	5.894 sec	TLP	Upstream	0x12	1
155	2095448	5.894 sec	TLP	Downstream	0x9	1
156	2095450	5.894 sec	TLP	Upstream	0x12	1
157	2095453	5.894 sec	TLP	Downstream	0x9	1
158	2095455	5.894 sec	TLP	Upstream	0x12	1
159	2095458	5.894 sec	TLP	Downstream	0x9	1
160	2095460	5.894 sec	TLP	Upstream	0x12	1
161	2095472	5.894 sec	TLP	Downstream	0x9	1
162	2095474	5.894 sec	TLP	Upstream	0x12	1
163	2095477	5.894 sec	TLP	Downstream	0x9	1
164	2095479	5.894 sec	TLP	Upstream	0x12	1
165	2095482	5.894 sec	TLP	Downstream	0x9	1
166	2095484	5.894 sec	TLP	Upstream	0x12	1
167	2095487	5.894 sec	TLP	Downstream	0x9	1
168	2095489	5.894 sec	TLP	Upstream	0x12	1
169	2095492	5.894 sec	TLP	Downstream	0x9	1
170	2095494	5.894 sec	TLP	Upstream	0x12	1
171	2095498	5.894 sec	TLP	Downstream	0x9	1
172	2095500	5.894 sec	TLP	Upstream	0x12	1
173	2095505	5.894 sec	TLP	Downstream	0x9	1
174	2095507	5.894 sec	TLP	Upstream	0x12	1
175	2095510	5.894 sec	TLP	Downstream	0x9	1
176	2095512	5.894 sec	TLP	Upstream	0x12	1
177	2095515	5.894 sec	TLP	Downstream	0x9	1
178	2095517	5.894 sec	TLP	Upstream	0x12	1
179	2095520	5.894 sec	TLP	Downstream	0x9	1
180	2095522	5.894 sec	TLP	Upstream	0x12	1
181	2095525	5.894 sec	TLP	Downstream	0x9	1
182	2095528	5.894 sec	TLP	Upstream	0x12	1
183	2095531	5.894 sec	TLP	Downstream	0x9	1
184	2095533	5.894 sec	TLP	Upstream	0x12	1
185	2095536	5.894 sec	TLP	Downstream	0x9	1
186	2095538	5.894 sec	TLP	Upstream	0x12	1
187	2095541	5.894 sec	TLP	Downstream	0x9	1
188	2095543	5.894 sec	TLP	Upstream	0x12	1
189	2095546	5.894 sec	TLP	Downstream	0x9	1
