
------------------------------------------------------------------------------------
                                    lecroy-vse-toolkit-poc-20260912-30e3b5c6\g1b-tlp-rows-1k
------------------------------------------------------------------------------------


Running verification script...
...

Test Description : 
PCIe G1b TLP row export - cap 1000 or trace end - v2
PCIE_G1B_TLP_ROWS_V2 cap=1000 time=vendor_display_text
PCIE_G1B_TLP|2094465| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094467| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2094470| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094472| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2094475| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094477| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2094480| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094483| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2094488| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094490| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2094493| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094495| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2094498| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094500| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2094503| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094505| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2094508| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094510| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2094514| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094516| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2094519| 5.889 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2094521| 5.889 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095288| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095290| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095293| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095295| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095298| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095300| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095304| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095306| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095309| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095311| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095314| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095316| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095321| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095323| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095326| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095328| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095332| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095334| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095346| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095349| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095352| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095354| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095357| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095359| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095362| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095364| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095367| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095369| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095372| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095374| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095377| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095379| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095382| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095386| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095389| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095391| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095394| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095396| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095399| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095402| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095405| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095407| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095410| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095412| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095415| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095417| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095420| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095422| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095425| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095427| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095430| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095432| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095435| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095437| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095441| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095445| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095448| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095450| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095453| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095455| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095458| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095460| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095472| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095474| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095477| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095479| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095482| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095484| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095487| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095489| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095492| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095494| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095498| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095500| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095505| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095507| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095510| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095512| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095515| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095517| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095520| 5.894 sec|TLP|Downstream|0x9|1
PCIE_G1B_TLP|2095522| 5.894 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|2095525| 5.894 sec|TLP|Downstream|0x9|1
