row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
370	126094	8.832 sec	Upstream	0x12	2	0	256	0
371	126096	8.832 sec	Downstream	0x3	0	0	NA	NA
372	126098	8.832 sec	Downstream	0x1	8	0	NA	NA
373	126102	8.832 sec	Upstream	0x12	8	0	256	0
374	126104	8.832 sec	Downstream	0x3	0	0	NA	NA
375	126106	8.832 sec	Downstream	0x3	0	0	NA	NA
376	128398	8.848 sec	Downstream	0x3	0	0	NA	NA
377	128401	8.848 sec	Downstream	0x1	14	0	NA	NA
378	128404	8.848 sec	Upstream	0x12	14	0	256	0
379	128406	8.848 sec	Downstream	0x3	0	0	NA	NA
380	128410	8.848 sec	Downstream	0x3	0	0	NA	NA
381	128413	8.848 sec	Downstream	0x3	0	0	NA	NA
382	128416	8.848 sec	Downstream	0x3	0	0	NA	NA
383	130682	8.863 sec	Downstream	0x3	0	0	NA	NA
384	130685	8.863 sec	Downstream	0x1	0	0	NA	NA
385	130688	8.863 sec	Upstream	0x12	0	0	256	0
386	130690	8.863 sec	Downstream	0x3	0	0	NA	NA
387	130692	8.863 sec	Downstream	0x3	0	0	NA	NA
388	130695	8.863 sec	Downstream	0x3	0	0	NA	NA
389	132992	8.879 sec	Downstream	0x3	0	0	NA	NA
390	132995	8.879 sec	Downstream	0x1	5	0	NA	NA
391	132998	8.879 sec	Upstream	0x12	5	0	256	0
392	133000	8.879 sec	Downstream	0x3	0	0	NA	NA
393	133002	8.879 sec	Downstream	0x1	11	0	NA	NA
394	133006	8.879 sec	Upstream	0x12	11	0	256	0
395	133008	8.879 sec	Downstream	0x3	0	0	NA	NA
396	133010	8.879 sec	Downstream	0x3	0	0	NA	NA
397	133015	8.879 sec	Downstream	0x1	1	0	NA	NA
398	133019	8.879 sec	Upstream	0x12	1	0	256	0
399	133021	8.879 sec	Downstream	0x3	0	0	NA	NA
400	133023	8.879 sec	Downstream	0x1	7	0	NA	NA
401	133027	8.879 sec	Upstream	0x12	7	0	256	0
402	133029	8.879 sec	Downstream	0x3	0	0	NA	NA
403	137498	8.910 sec	Downstream	0x3	0	0	NA	NA
404	137501	8.910 sec	Downstream	0x3	0	0	NA	NA
405	137503	8.910 sec	Downstream	0x1	13	0	NA	NA
406	137507	8.910 sec	Upstream	0x12	13	0	256	0
407	137509	8.910 sec	Downstream	0x3	0	0	NA	NA
408	137511	8.910 sec	Downstream	0x1	3	0	NA	NA
409	137515	8.910 sec	Upstream	0x12	3	0	256	0
410	142057	8.942 sec	Downstream	0x3	0	0	NA	NA
411	144324	8.957 sec	Downstream	0x1	9	0	NA	NA
412	144327	8.957 sec	Upstream	0x12	9	0	256	0
413	148877	8.989 sec	Downstream	0x1	15	0	NA	NA
414	148880	8.989 sec	Upstream	0x12	15	0	256	0
415	151169	9.005 sec	Downstream	0x1	0	0	NA	NA
416	151172	9.005 sec	Upstream	0x12	0	0	256	0
417	153465	9.021 sec	Downstream	0x1	4	0	NA	NA
418	153468	9.021 sec	Upstream	0x12	4	0	256	0
419	155676	9.036 sec	Downstream	0x1	10	0	NA	NA
420	155679	9.036 sec	Upstream	0x12	10	0	256	0
421	157956	9.052 sec	Downstream	0x1	1	0	NA	NA
422	157959	9.052 sec	Upstream	0x12	1	0	256	0
423	157961	9.052 sec	Downstream	0x3	0	0	NA	NA
424	157964	9.052 sec	Downstream	0x3	0	0	NA	NA
425	157967	9.052 sec	Downstream	0x3	0	0	NA	NA
426	157970	9.052 sec	Downstream	0x1	6	0	NA	NA
427	157973	9.052 sec	Upstream	0x12	6	0	256	0
428	157975	9.052 sec	Downstream	0x1	12	0	NA	NA
429	157978	9.052 sec	Upstream	0x12	12	0	256	0
430	157980	9.052 sec	Downstream	0x3	0	0	NA	NA
431	157983	9.052 sec	Downstream	0x1	2	0	NA	NA
432	157986	9.052 sec	Upstream	0x12	2	0	256	0
433	157988	9.052 sec	Downstream	0x3	0	0	NA	NA
434	157990	9.052 sec	Downstream	0x1	8	0	NA	NA
435	157994	9.052 sec	Upstream	0x12	8	0	256	0
436	160266	9.068 sec	Downstream	0x1	14	0	NA	NA
437	160269	9.068 sec	Upstream	0x12	14	0	256	0
438	160271	9.068 sec	Downstream	0x3	0	0	NA	NA
439	160274	9.068 sec	Downstream	0x1	0	0	NA	NA
440	160277	9.068 sec	Upstream	0x12	0	0	256	0
441	160281	9.068 sec	Downstream	0x3	0	0	NA	NA
442	162602	9.084 sec	Downstream	0x1	5	0	NA	NA
443	162605	9.084 sec	Upstream	0x12	5	0	256	0
444	162607	9.084 sec	Downstream	0x1	11	0	NA	NA
445	162610	9.084 sec	Upstream	0x12	11	0	256	0
446	162612	9.084 sec	Downstream	0x3	0	0	NA	NA
447	162614	9.084 sec	Downstream	0x1	1	0	NA	NA
448	162618	9.084 sec	Upstream	0x12	1	0	256	0
449	162620	9.084 sec	Downstream	0x3	0	0	NA	NA
450	162622	9.084 sec	Downstream	0x1	7	0	NA	NA
451	162626	9.084 sec	Upstream	0x12	7	0	256	0
452	162628	9.084 sec	Downstream	0x3	0	0	NA	NA
453	162631	9.084 sec	Downstream	0x1	13	0	NA	NA
