row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
101	2095293	5.894 sec	Downstream	0x9	11	0	NA	NA
102	2095295	5.894 sec	Upstream	0x12	11	0	256	0
103	2095298	5.894 sec	Downstream	0x9	1	0	NA	NA
104	2095300	5.894 sec	Upstream	0x12	1	0	256	0
105	2095304	5.894 sec	Downstream	0x9	7	0	NA	NA
106	2095306	5.894 sec	Upstream	0x12	7	0	256	0
107	2095309	5.894 sec	Downstream	0x9	13	0	NA	NA
108	2095311	5.894 sec	Upstream	0x12	13	0	256	0
109	2095314	5.894 sec	Downstream	0x9	3	0	NA	NA
110	2095316	5.894 sec	Upstream	0x12	3	0	256	0
111	2095321	5.894 sec	Downstream	0x9	9	0	NA	NA
112	2095323	5.894 sec	Upstream	0x12	9	0	256	0
113	2095326	5.894 sec	Downstream	0x9	15	0	NA	NA
114	2095328	5.894 sec	Upstream	0x12	15	0	256	0
115	2095332	5.894 sec	Downstream	0x9	0	0	NA	NA
116	2095334	5.894 sec	Upstream	0x12	0	0	256	0
117	2095346	5.894 sec	Downstream	0x9	4	0	NA	NA
118	2095349	5.894 sec	Upstream	0x12	4	0	256	0
119	2095352	5.894 sec	Downstream	0x9	10	0	NA	NA
120	2095354	5.894 sec	Upstream	0x12	10	0	256	0
121	2095357	5.894 sec	Downstream	0x9	1	0	NA	NA
122	2095359	5.894 sec	Upstream	0x12	1	0	256	0
123	2095362	5.894 sec	Downstream	0x9	6	0	NA	NA
124	2095364	5.894 sec	Upstream	0x12	6	0	256	0
125	2095367	5.894 sec	Downstream	0x9	12	0	NA	NA
126	2095369	5.894 sec	Upstream	0x12	12	0	256	0
127	2095372	5.894 sec	Downstream	0x9	2	0	NA	NA
128	2095374	5.894 sec	Upstream	0x12	2	0	256	0
129	2095377	5.894 sec	Downstream	0x9	8	0	NA	NA
130	2095379	5.894 sec	Upstream	0x12	8	0	256	0
131	2095382	5.894 sec	Downstream	0x9	14	0	NA	NA
132	2095386	5.894 sec	Upstream	0x12	14	0	256	0
133	2095389	5.894 sec	Downstream	0x9	0	0	NA	NA
134	2095391	5.894 sec	Upstream	0x12	0	0	256	0
135	2095394	5.894 sec	Downstream	0x9	5	0	NA	NA
136	2095396	5.894 sec	Upstream	0x12	5	0	256	0
137	2095399	5.894 sec	Downstream	0x9	11	0	NA	NA
138	2095402	5.894 sec	Upstream	0x12	11	0	256	0
139	2095405	5.894 sec	Downstream	0x9	1	0	NA	NA
140	2095407	5.894 sec	Upstream	0x12	1	0	256	0
141	2095410	5.894 sec	Downstream	0x9	7	0	NA	NA
142	2095412	5.894 sec	Upstream	0x12	7	0	256	0
143	2095415	5.894 sec	Downstream	0x9	13	0	NA	NA
144	2095417	5.894 sec	Upstream	0x12	13	0	256	0
145	2095420	5.894 sec	Downstream	0x9	3	0	NA	NA
146	2095422	5.894 sec	Upstream	0x12	3	0	256	0
147	2095425	5.894 sec	Downstream	0x9	9	0	NA	NA
148	2095427	5.894 sec	Upstream	0x12	9	0	256	0
149	2095430	5.894 sec	Downstream	0x9	15	0	NA	NA
150	2095432	5.894 sec	Upstream	0x12	15	0	256	0
151	2095435	5.894 sec	Downstream	0x9	0	0	NA	NA
